annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;combinaison_triee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011028;SAMEDI  ;05/03/2011;05/05/2011;11;45;44;27;31;2;11-27-31-44-45+2;11-27-31-44-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011029;LUNDI   ;07/03/2011;07/05/2011;7;38;23;9;17;5;7-9-17-23-38+5;7-9-17-23-38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011030;MERCREDI;09/03/2011;09/05/2011;9;43;3;29;15;8;3-9-15-29-43+8;3-9-15-29-43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011031;SAMEDI  ;12/03/2011;12/05/2011;15;34;22;33;16;9;15-16-22-33-34+9;15-16-22-33-34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011032;LUNDI   ;14/03/2011;14/05/2011;32;38;36;34;27;7;27-32-34-36-38+7;27-32-34-36-38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011033;MERCREDI;16/03/2011;16/05/2011;23;20;32;7;14;4;7-14-20-23-32+4;7-14-20-23-32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011034;SAMEDI  ;19/03/2011;19/05/2011;26;10;11;23;1;8;1-10-11-23-26+8;1-10-11-23-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011035;LUNDI   ;21/03/2011;21/05/2011;28;23;3;40;31;1;3-23-28-31-40+1;3-23-28-31-40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011036;MERCREDI;23/03/2011;23/05/2011;13;4;24;21;10;5;4-10-13-21-24+5;4-10-13-21-24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011037;SAMEDI  ;26/03/2011;26/05/2011;17;26;34;4;30;9;4-17-26-30-34+9;4-17-26-30-34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011038;LUNDI   ;28/03/2011;28/05/2011;15;10;16;46;43;1;10-15-16-43-46+1;10-15-16-43-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011039;MERCREDI;30/03/2011;30/05/2011;15;23;27;43;29;10;15-23-27-29-43+10;15-23-27-29-43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011040;SAMEDI  ;02/04/2011;02/06/2011;5;24;7;46;35;3;5-7-24-35-46+3;5-7-24-35-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011041;LUNDI   ;04/04/2011;04/06/2011;12;23;37;13;10;7;10-12-13-23-37+7;10-12-13-23-37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011042;MERCREDI;06/04/2011;06/06/2011;12;19;1;32;44;3;1-12-19-32-44+3;1-12-19-32-44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011043;SAMEDI  ;09/04/2011;09/06/2011;6;20;31;22;41;8;6-20-22-31-41+8;6-20-22-31-41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011044;LUNDI   ;11/04/2011;11/06/2011;13;47;22;3;32;6;3-13-22-32-47+6;3-13-22-32-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011045;MERCREDI;13/04/2011;13/06/2011;38;6;33;43;23;1;6-23-33-38-43+1;6-23-33-38-43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011046;SAMEDI  ;16/04/2011;16/06/2011;17;35;24;47;6;8;6-17-24-35-47+8;6-17-24-35-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011047;LUNDI   ;18/04/2011;18/06/2011;6;10;22;7;21;5;6-7-10-21-22+5;6-7-10-21-22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011048;MERCREDI;20/04/2011;20/06/2011;15;41;18;17;33;9;15-17-18-33-41+9;15-17-18-33-41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011049;SAMEDI  ;23/04/2011;23/06/2011;40;21;28;32;8;9;8-21-28-32-40+9;8-21-28-32-40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011050;LUNDI   ;25/04/2011;25/06/2011;18;2;21;34;10;2;2-10-18-21-34+2;2-10-18-21-34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011051;MERCREDI;27/04/2011;27/06/2011;5;26;14;28;23;6;5-14-23-26-28+6;5-14-23-26-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011052;SAMEDI  ;30/04/2011;30/06/2011;8;49;42;9;2;3;2-8-9-42-49+3;2-8-9-42-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011053;LUNDI   ;02/05/2011;02/07/2011;25;23;4;1;40;2;1-4-23-25-40+2;1-4-23-25-40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011054;MERCREDI;04/05/2011;04/07/2011;44;29;11;7;13;2;7-11-13-29-44+2;7-11-13-29-44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011055;SAMEDI  ;07/05/2011;07/07/2011;42;28;37;38;3;8;3-28-37-38-42+8;3-28-37-38-42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011056;LUNDI   ;09/05/2011;09/07/2011;13;48;3;26;22;7;3-13-22-26-48+7;3-13-22-26-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011057;MERCREDI;11/05/2011;11/07/2011;45;14;26;28;38;5;14-26-28-38-45+5;14-26-28-38-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011058;SAMEDI  ;14/05/2011;14/07/2011;38;31;35;42;3;8;3-31-35-38-42+8;3-31-35-38-42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011059;LUNDI   ;16/05/2011;16/07/2011;41;43;9;11;46;8;9-11-41-43-46+8;9-11-41-43-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011060;MERCREDI;18/05/2011;18/07/2011;27;23;16;17;47;1;16-17-23-27-47+1;16-17-23-27-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011061;SAMEDI  ;21/05/2011;21/07/2011;27;15;35;5;14;10;5-14-15-27-35+10;5-14-15-27-35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011062;LUNDI   ;23/05/2011;23/07/2011;15;29;38;19;33;3;15-19-29-33-38+3;15-19-29-33-38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011063;MERCREDI;25/05/2011;25/07/2011;14;45;34;27;38;3;14-27-34-38-45+3;14-27-34-38-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011064;SAMEDI  ;28/05/2011;28/07/2011;2;5;3;1;43;9;1-2-3-5-43+9;1-2-3-5-43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011065;LUNDI   ;30/05/2011;30/07/2011;14;22;47;20;21;9;14-20-21-22-47+9;14-20-21-22-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011066;MERCREDI;01/06/2011;01/08/2011;30;45;32;25;26;5;25-26-30-32-45+5;25-26-30-32-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011067;SAMEDI  ;04/06/2011;04/08/2011;35;4;27;15;3;2;3-4-15-27-35+2;3-4-15-27-35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011068;LUNDI   ;06/06/2011;06/08/2011;10;30;45;22;13;1;10-13-22-30-45+1;10-13-22-30-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011069;MERCREDI;08/06/2011;08/08/2011;20;16;40;11;24;5;11-16-20-24-40+5;11-16-20-24-40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011070;SAMEDI  ;11/06/2011;11/08/2011;39;32;44;37;5;5;5-32-37-39-44+5;5-32-37-39-44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011071;LUNDI   ;13/06/2011;13/08/2011;22;3;18;17;28;6;3-17-18-22-28+6;3-17-18-22-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011072;MERCREDI;15/06/2011;15/08/2011;47;41;9;37;36;8;9-36-37-41-47+8;9-36-37-41-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011073;SAMEDI  ;18/06/2011;18/08/2011;9;12;43;46;33;10;9-12-33-43-46+10;9-12-33-43-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011074;LUNDI   ;20/06/2011;20/08/2011;27;2;23;8;36;9;2-8-23-27-36+9;2-8-23-27-36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011075;MERCREDI;22/06/2011;22/08/2011;33;21;26;28;22;5;21-22-26-28-33+5;21-22-26-28-33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011076;SAMEDI  ;25/06/2011;25/08/2011;39;43;10;17;6;3;6-10-17-39-43+3;6-10-17-39-43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011077;LUNDI   ;27/06/2011;27/08/2011;43;5;14;20;12;3;5-12-14-20-43+3;5-12-14-20-43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011078;MERCREDI;29/06/2011;29/08/2011;38;11;37;1;18;4;1-11-18-37-38+4;1-11-18-37-38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011079;SAMEDI  ;02/07/2011;01/09/2011;49;11;26;1;7;5;1-7-11-26-49+5;1-7-11-26-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011080;LUNDI   ;04/07/2011;03/09/2011;14;46;31;25;37;4;14-25-31-37-46+4;14-25-31-37-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011081;MERCREDI;06/07/2011;05/09/2011;9;33;10;24;3;6;3-9-10-24-33+6;3-9-10-24-33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011082;SAMEDI  ;09/07/2011;08/09/2011;15;4;31;45;44;6;4-15-31-44-45+6;4-15-31-44-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011083;LUNDI   ;11/07/2011;10/09/2011;7;43;23;48;47;9;7-23-43-47-48+9;7-23-43-47-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011084;MERCREDI;13/07/2011;12/09/2011;4;46;41;12;16;6;4-12-16-41-46+6;4-12-16-41-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011085;SAMEDI  ;16/07/2011;15/09/2011;27;35;42;18;37;3;18-27-35-37-42+3;18-27-35-37-42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011086;LUNDI   ;18/07/2011;17/09/2011;19;5;38;47;26;7;5-19-26-38-47+7;5-19-26-38-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011087;MERCREDI;20/07/2011;19/09/2011;26;45;18;23;6;6;6-18-23-26-45+6;6-18-23-26-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011088;SAMEDI  ;23/07/2011;22/09/2011;43;32;18;13;46;5;13-18-32-43-46+5;13-18-32-43-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011089;LUNDI   ;25/07/2011;24/09/2011;38;22;3;11;41;7;3-11-22-38-41+7;3-11-22-38-41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011090;MERCREDI;27/07/2011;26/09/2011;6;11;7;5;4;10;4-5-6-7-11+10;4-5-6-7-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011091;SAMEDI  ;30/07/2011;29/09/2011;8;41;20;46;12;1;8-12-20-41-46+1;8-12-20-41-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011092;LUNDI   ;01/08/2011;01/10/2011;32;37;43;10;25;3;10-25-32-37-43+3;10-25-32-37-43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011093;MERCREDI;03/08/2011;03/10/2011;20;4;19;17;5;10;4-5-17-19-20+10;4-5-17-19-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011094;SAMEDI  ;06/08/2011;06/10/2011;17;13;15;4;39;4;4-13-15-17-39+4;4-13-15-17-39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011095;LUNDI   ;08/08/2011;08/10/2011;18;12;1;26;30;9;1-12-18-26-30+9;1-12-18-26-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011096;MERCREDI;10/08/2011;10/10/2011;28;4;27;29;38;2;4-27-28-29-38+2;4-27-28-29-38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011097;SAMEDI  ;13/08/2011;13/10/2011;3;13;4;41;5;9;3-4-5-13-41+9;3-4-5-13-41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011098;LUNDI   ;15/08/2011;15/10/2011;23;3;8;4;1;8;1-3-4-8-23+8;1-3-4-8-23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011099;MERCREDI;17/08/2011;17/10/2011;8;49;29;45;3;9;3-8-29-45-49+9;3-8-29-45-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011100;SAMEDI  ;20/08/2011;20/10/2011;21;40;49;31;22;4;21-22-31-40-49+4;21-22-31-40-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011101;LUNDI   ;22/08/2011;22/10/2011;40;36;38;44;17;1;17-36-38-40-44+1;17-36-38-40-44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011102;MERCREDI;24/08/2011;24/10/2011;3;36;47;4;17;4;3-4-17-36-47+4;3-4-17-36-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011103;SAMEDI  ;27/08/2011;27/10/2011;27;21;19;13;45;2;13-19-21-27-45+2;13-19-21-27-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011104;LUNDI   ;29/08/2011;29/10/2011;46;30;12;3;10;2;3-10-12-30-46+2;3-10-12-30-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011105;MERCREDI;31/08/2011;31/10/2011;7;42;39;9;5;3;5-7-9-39-42+3;5-7-9-39-42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011106;SAMEDI  ;03/09/2011;03/11/2011;42;41;7;13;47;5;7-13-41-42-47+5;7-13-41-42-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011107;LUNDI   ;05/09/2011;05/11/2011;7;17;22;10;23;5;7-10-17-22-23+5;7-10-17-22-23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011108;MERCREDI;07/09/2011;07/11/2011;13;40;41;3;12;7;3-12-13-40-41+7;3-12-13-40-41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011109;SAMEDI  ;10/09/2011;10/11/2011;15;1;28;24;10;5;1-10-15-24-28+5;1-10-15-24-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011110;LUNDI   ;12/09/2011;12/11/2011;13;45;18;32;30;2;13-18-30-32-45+2;13-18-30-32-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011111;MERCREDI;14/09/2011;14/11/2011;14;42;5;16;11;3;5-11-14-16-42+3;5-11-14-16-42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011112;SAMEDI  ;17/09/2011;17/11/2011;15;40;1;23;2;4;1-2-15-23-40+4;1-2-15-23-40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011113;LUNDI   ;19/09/2011;19/11/2011;13;1;27;48;35;7;1-13-27-35-48+7;1-13-27-35-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011114;MERCREDI;21/09/2011;21/11/2011;40;20;46;19;16;4;16-19-20-40-46+4;16-19-20-40-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011115;SAMEDI  ;24/09/2011;24/11/2011;36;4;41;33;40;6;4-33-36-40-41+6;4-33-36-40-41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011116;LUNDI   ;26/09/2011;26/11/2011;11;44;33;4;49;9;4-11-33-44-49+9;4-11-33-44-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011117;MERCREDI;28/09/2011;28/11/2011;16;42;36;3;8;3;3-8-16-36-42+3;3-8-16-36-42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011118;SAMEDI  ;01/10/2011;01/12/2011;25;38;14;32;15;3;14-15-25-32-38+3;14-15-25-32-38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011119;LUNDI   ;03/10/2011;03/12/2011;40;28;27;12;4;1;4-12-27-28-40+1;4-12-27-28-40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011120;MERCREDI;05/10/2011;05/12/2011;20;2;7;42;27;5;2-7-20-27-42+5;2-7-20-27-42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011121;SAMEDI  ;08/10/2011;08/12/2011;31;44;21;30;22;7;21-22-30-31-44+7;21-22-30-31-44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011122;LUNDI   ;10/10/2011;10/12/2011;15;47;16;45;3;7;3-15-16-45-47+7;3-15-16-45-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011123;MERCREDI;12/10/2011;12/12/2011;12;9;20;30;25;5;9-12-20-25-30+5;9-12-20-25-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011124;SAMEDI  ;15/10/2011;15/12/2011;13;37;27;5;39;3;5-13-27-37-39+3;5-13-27-37-39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011125;LUNDI   ;17/10/2011;17/12/2011;14;13;18;4;48;10;4-13-14-18-48+10;4-13-14-18-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011126;MERCREDI;19/10/2011;19/12/2011;38;35;23;3;44;8;3-23-35-38-44+8;3-23-35-38-44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011127;SAMEDI  ;22/10/2011;22/12/2011;45;44;32;29;6;7;6-29-32-44-45+7;6-29-32-44-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011128;LUNDI   ;24/10/2011;24/12/2011;15;18;17;5;31;7;5-15-17-18-31+7;5-15-17-18-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011129;MERCREDI;26/10/2011;26/12/2011;35;6;2;3;20;1;2-3-6-20-35+1;2-3-6-20-35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011130;SAMEDI  ;29/10/2011;29/12/2011;12;17;46;42;38;8;12-17-38-42-46+8;12-17-38-42-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011131;LUNDI   ;31/10/2011;31/12/2011;24;13;47;37;21;7;13-21-24-37-47+7;13-21-24-37-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011132;MERCREDI;02/11/2011;02/01/2012;2;38;44;35;42;9;2-35-38-42-44+9;2-35-38-42-44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011133;SAMEDI  ;05/11/2011;05/01/2012;38;2;13;32;20;10;2-13-20-32-38+10;2-13-20-32-38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011134;LUNDI   ;07/11/2011;07/01/2012;18;47;11;2;30;5;2-11-18-30-47+5;2-11-18-30-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011135;MERCREDI;09/11/2011;09/01/2012;17;8;23;12;37;2;8-12-17-23-37+2;8-12-17-23-37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011136;SAMEDI  ;12/11/2011;12/01/2012;44;48;13;33;12;7;12-13-33-44-48+7;12-13-33-44-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011137;LUNDI   ;14/11/2011;14/01/2012;25;43;18;22;3;7;3-18-22-25-43+7;3-18-22-25-43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011138;MERCREDI;16/11/2011;16/01/2012;37;41;27;17;12;10;12-17-27-37-41+10;12-17-27-37-41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011139;SAMEDI  ;19/11/2011;19/01/2012;45;37;22;33;34;5;22-33-34-37-45+5;22-33-34-37-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011140;LUNDI   ;21/11/2011;21/01/2012;46;33;31;49;18;1;18-31-33-46-49+1;18-31-33-46-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011141;MERCREDI;23/11/2011;23/01/2012;39;16;6;10;21;5;6-10-16-21-39+5;6-10-16-21-39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011142;SAMEDI  ;26/11/2011;26/01/2012;47;31;16;3;39;1;3-16-31-39-47+1;3-16-31-39-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011143;LUNDI   ;28/11/2011;28/01/2012;11;24;1;15;2;9;1-2-11-15-24+9;1-2-11-15-24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011144;MERCREDI;30/11/2011;30/01/2012;29;2;42;49;4;2;2-4-29-42-49+2;2-4-29-42-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011145;SAMEDI  ;03/12/2011;02/02/2012;31;6;49;34;26;1;6-26-31-34-49+1;6-26-31-34-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011146;LUNDI   ;05/12/2011;04/02/2012;43;47;38;36;30;5;30-36-38-43-47+5;30-36-38-43-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011147;MERCREDI;07/12/2011;06/02/2012;32;35;31;48;8;1;8-31-32-35-48+1;8-31-32-35-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011148;SAMEDI  ;10/12/2011;09/02/2012;14;43;26;30;28;8;14-26-28-30-43+8;14-26-28-30-43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011149;LUNDI   ;12/12/2011;11/02/2012;48;29;1;25;16;1;1-16-25-29-48+1;1-16-25-29-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011150;MERCREDI;14/12/2011;13/02/2012;42;14;21;33;48;1;14-21-33-42-48+1;14-21-33-42-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011151;SAMEDI  ;17/12/2011;16/02/2012;41;9;37;38;34;5;9-34-37-38-41+5;9-34-37-38-41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011152;LUNDI   ;19/12/2011;18/02/2012;42;23;13;35;26;5;13-23-26-35-42+5;13-23-26-35-42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011153;MERCREDI;21/12/2011;20/02/2012;27;42;33;45;37;2;27-33-37-42-45+2;27-33-37-42-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011154;SAMEDI  ;24/12/2011;23/02/2012;7;10;28;11;12;8;7-10-11-12-28+8;7-10-11-12-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011155;LUNDI   ;26/12/2011;25/02/2012;36;43;42;23;28;4;23-28-36-42-43+4;23-28-36-42-43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011156;MERCREDI;28/12/2011;27/02/2012;39;41;16;31;36;5;16-31-36-39-41+5;16-31-36-39-41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011157;SAMEDI  ;31/12/2011;01/03/2012;32;35;17;28;2;2;2-17-28-32-35+2;2-17-28-32-35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012001;LUNDI   ;02/01/2012;03/03/2012;3;36;30;16;24;9;3-16-24-30-36+9;3-16-24-30-36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012002;MERCREDI;04/01/2012;05/03/2012;10;23;2;43;34;5;2-10-23-34-43+5;2-10-23-34-43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012003;SAMEDI  ;07/01/2012;08/03/2012;1;6;12;10;8;8;1-6-8-10-12+8;1-6-8-10-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012004;LUNDI   ;09/01/2012;10/03/2012;34;15;26;25;32;4;15-25-26-32-34+4;15-25-26-32-34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012005;MERCREDI;11/01/2012;12/03/2012;9;7;44;36;23;7;7-9-23-36-44+7;7-9-23-36-44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012006;SAMEDI  ;14/01/2012;15/03/2012;1;38;19;49;29;8;1-19-29-38-49+8;1-19-29-38-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012007;LUNDI   ;16/01/2012;17/03/2012;39;36;29;47;38;8;29-36-38-39-47+8;29-36-38-39-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012008;MERCREDI;18/01/2012;19/03/2012;21;9;33;13;42;4;9-13-21-33-42+4;9-13-21-33-42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012009;SAMEDI  ;21/01/2012;22/03/2012;36;23;1;31;17;4;1-17-23-31-36+4;1-17-23-31-36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012010;LUNDI   ;23/01/2012;24/03/2012;39;44;48;20;25;6;20-25-39-44-48+6;20-25-39-44-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012011;MERCREDI;25/01/2012;26/03/2012;2;23;8;30;48;5;2-8-23-30-48+5;2-8-23-30-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012012;SAMEDI  ;28/01/2012;29/03/2012;23;12;47;15;18;6;12-15-18-23-47+6;12-15-18-23-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
