annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;combinaison_triee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008112;MERCREDI;17/12/2008;16/02/2009;49;44;31;13;33;9;13-31-33-44-49+9;13-31-33-44-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008113;SAMEDI  ;20/12/2008;19/02/2009;41;46;2;22;26;5;2-22-26-41-46+5;2-22-26-41-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008114;LUNDI   ;22/12/2008;21/02/2009;5;27;2;35;48;3;2-5-27-35-48+3;2-5-27-35-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008115;MERCREDI;24/12/2008;23/02/2009;33;27;2;41;4;5;2-4-27-33-41+5;2-4-27-33-41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008116;SAMEDI  ;27/12/2008;26/02/2009;36;47;17;49;37;10;17-36-37-47-49+10;17-36-37-47-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008117;LUNDI   ;29/12/2008;28/02/2009;26;38;14;21;27;4;14-21-26-27-38+4;14-21-26-27-38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008118;MERCREDI;31/12/2008;02/03/2009;11;5;20;30;24;8;5-11-20-24-30+8;5-11-20-24-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009119;SAMEDI  ;03/01/2009;05/03/2009;47;22;24;12;38;1;12-22-24-38-47+1;12-22-24-38-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009120;LUNDI   ;05/01/2009;07/03/2009;8;29;36;25;11;2;8-11-25-29-36+2;8-11-25-29-36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009121;MERCREDI;07/01/2009;09/03/2009;37;39;9;33;11;8;9-11-33-37-39+8;9-11-33-37-39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009122;SAMEDI  ;10/01/2009;12/03/2009;49;40;21;10;44;2;10-21-40-44-49+2;10-21-40-44-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009123;LUNDI   ;12/01/2009;14/03/2009;47;11;29;4;9;8;4-9-11-29-47+8;4-9-11-29-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009124;MERCREDI;14/01/2009;16/03/2009;5;42;1;19;13;3;1-5-13-19-42+3;1-5-13-19-42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009125;SAMEDI  ;17/01/2009;19/03/2009;2;46;27;37;5;4;2-5-27-37-46+4;2-5-27-37-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009126;LUNDI   ;19/01/2009;21/03/2009;39;38;7;32;26;9;7-26-32-38-39+9;7-26-32-38-39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009127;MERCREDI;21/01/2009;23/03/2009;32;47;10;35;3;3;3-10-32-35-47+3;3-10-32-35-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009128;SAMEDI  ;24/01/2009;26/03/2009;5;40;15;20;28;10;5-15-20-28-40+10;5-15-20-28-40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009129;LUNDI   ;26/01/2009;28/03/2009;39;8;13;49;10;10;8-10-13-39-49+10;8-10-13-39-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009130;MERCREDI;28/01/2009;30/03/2009;40;7;41;38;46;5;7-38-40-41-46+5;7-38-40-41-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009131;SAMEDI  ;31/01/2009;02/04/2009;6;31;40;18;36;7;6-18-31-36-40+7;6-18-31-36-40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009132;LUNDI   ;02/02/2009;04/04/2009;4;38;12;31;41;8;4-12-31-38-41+8;4-12-31-38-41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009133;MERCREDI;04/02/2009;06/04/2009;20;43;47;27;10;3;10-20-27-43-47+3;10-20-27-43-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009134;SAMEDI  ;07/02/2009;09/04/2009;4;16;34;22;49;10;4-16-22-34-49+10;4-16-22-34-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009135;LUNDI   ;09/02/2009;11/04/2009;17;13;31;3;46;5;3-13-17-31-46+5;3-13-17-31-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009136;MERCREDI;11/02/2009;13/04/2009;35;46;10;1;14;8;1-10-14-35-46+8;1-10-14-35-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009137;SAMEDI  ;14/02/2009;16/04/2009;12;24;18;44;16;4;12-16-18-24-44+4;12-16-18-24-44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009138;LUNDI   ;16/02/2009;18/04/2009;46;23;29;21;16;4;16-21-23-29-46+4;16-21-23-29-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009139;MERCREDI;18/02/2009;20/04/2009;28;40;10;23;43;9;10-23-28-40-43+9;10-23-28-40-43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009140;SAMEDI  ;21/02/2009;23/04/2009;47;21;48;39;40;5;21-39-40-47-48+5;21-39-40-47-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009141;LUNDI   ;23/02/2009;25/04/2009;3;14;34;31;22;7;3-14-22-31-34+7;3-14-22-31-34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009142;MERCREDI;25/02/2009;27/04/2009;15;4;21;30;36;4;4-15-21-30-36+4;4-15-21-30-36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009143;SAMEDI  ;28/02/2009;30/04/2009;45;14;41;25;16;10;14-16-25-41-45+10;14-16-25-41-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009144;LUNDI   ;02/03/2009;02/05/2009;41;29;14;48;8;10;8-14-29-41-48+10;8-14-29-41-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009145;MERCREDI;04/03/2009;04/05/2009;7;9;29;25;10;6;7-9-10-25-29+6;7-9-10-25-29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009146;SAMEDI  ;07/03/2009;07/05/2009;36;15;24;2;22;8;2-15-22-24-36+8;2-15-22-24-36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009147;LUNDI   ;09/03/2009;09/05/2009;27;32;5;40;3;9;3-5-27-32-40+9;3-5-27-32-40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009148;MERCREDI;11/03/2009;11/05/2009;4;7;11;22;8;5;4-7-8-11-22+5;4-7-8-11-22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009149;SAMEDI  ;14/03/2009;14/05/2009;27;18;20;11;38;6;11-18-20-27-38+6;11-18-20-27-38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009150;LUNDI   ;16/03/2009;16/05/2009;27;45;35;36;44;2;27-35-36-44-45+2;27-35-36-44-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009151;MERCREDI;18/03/2009;18/05/2009;42;3;39;20;34;2;3-20-34-39-42+2;3-20-34-39-42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009152;SAMEDI  ;21/03/2009;21/05/2009;45;32;15;2;39;10;2-15-32-39-45+10;2-15-32-39-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009153;LUNDI   ;23/03/2009;23/05/2009;1;25;10;2;33;4;1-2-10-25-33+4;1-2-10-25-33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009154;MERCREDI;25/03/2009;25/05/2009;10;34;15;33;5;7;5-10-15-33-34+7;5-10-15-33-34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009155;SAMEDI  ;28/03/2009;28/05/2009;19;26;23;22;27;2;19-22-23-26-27+2;19-22-23-26-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009156;LUNDI   ;30/03/2009;30/05/2009;32;47;45;29;24;10;24-29-32-45-47+10;24-29-32-45-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009157;MERCREDI;01/04/2009;01/06/2009;37;27;30;22;45;3;22-27-30-37-45+3;22-27-30-37-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009158;SAMEDI  ;04/04/2009;04/06/2009;37;41;27;8;45;6;8-27-37-41-45+6;8-27-37-41-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009159;LUNDI   ;06/04/2009;06/06/2009;43;33;48;31;28;7;28-31-33-43-48+7;28-31-33-43-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009160;MERCREDI;08/04/2009;08/06/2009;46;33;10;34;7;6;7-10-33-34-46+6;7-10-33-34-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009161;SAMEDI  ;11/04/2009;11/06/2009;21;5;2;23;19;7;2-5-19-21-23+7;2-5-19-21-23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009162;LUNDI   ;13/04/2009;13/06/2009;20;24;30;11;9;1;9-11-20-24-30+1;9-11-20-24-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009163;MERCREDI;15/04/2009;15/06/2009;23;43;37;12;39;8;12-23-37-39-43+8;12-23-37-39-43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009164;SAMEDI  ;18/04/2009;18/06/2009;31;20;45;12;32;8;12-20-31-32-45+8;12-20-31-32-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009165;LUNDI   ;20/04/2009;20/06/2009;11;34;38;43;12;3;11-12-34-38-43+3;11-12-34-38-43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009166;MERCREDI;22/04/2009;22/06/2009;2;31;49;33;43;9;2-31-33-43-49+9;2-31-33-43-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009167;SAMEDI  ;25/04/2009;25/06/2009;34;23;49;9;20;8;9-20-23-34-49+8;9-20-23-34-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009168;LUNDI   ;27/04/2009;27/06/2009;9;37;21;34;4;2;4-9-21-34-37+2;4-9-21-34-37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009169;MERCREDI;29/04/2009;29/06/2009;4;30;29;26;15;3;4-15-26-29-30+3;4-15-26-29-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009170;SAMEDI  ;02/05/2009;02/07/2009;7;15;11;5;23;1;5-7-11-15-23+1;5-7-11-15-23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009171;LUNDI   ;04/05/2009;04/07/2009;33;1;23;12;46;1;1-12-23-33-46+1;1-12-23-33-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009172;MERCREDI;06/05/2009;06/07/2009;48;36;13;20;44;1;13-20-36-44-48+1;13-20-36-44-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009173;SAMEDI  ;09/05/2009;09/07/2009;45;28;22;30;20;3;20-22-28-30-45+3;20-22-28-30-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009174;LUNDI   ;11/05/2009;11/07/2009;15;27;48;9;34;6;9-15-27-34-48+6;9-15-27-34-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009175;MERCREDI;13/05/2009;13/07/2009;38;36;49;39;12;10;12-36-38-39-49+10;12-36-38-39-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009176;SAMEDI  ;16/05/2009;16/07/2009;1;2;26;44;7;9;1-2-7-26-44+9;1-2-7-26-44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009177;LUNDI   ;18/05/2009;18/07/2009;49;26;35;34;28;4;26-28-34-35-49+4;26-28-34-35-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009178;MERCREDI;20/05/2009;20/07/2009;35;28;15;3;23;10;3-15-23-28-35+10;3-15-23-28-35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009179;SAMEDI  ;23/05/2009;23/07/2009;38;13;33;3;25;3;3-13-25-33-38+3;3-13-25-33-38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009180;LUNDI   ;25/05/2009;25/07/2009;46;40;6;3;25;4;3-6-25-40-46+4;3-6-25-40-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009181;MERCREDI;27/05/2009;27/07/2009;7;48;5;3;23;7;3-5-7-23-48+7;3-5-7-23-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009182;SAMEDI  ;30/05/2009;30/07/2009;30;25;34;14;10;9;10-14-25-30-34+9;10-14-25-30-34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009183;LUNDI   ;01/06/2009;01/08/2009;18;26;47;24;35;1;18-24-26-35-47+1;18-24-26-35-47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009184;MERCREDI;03/06/2009;03/08/2009;46;21;32;26;14;6;14-21-26-32-46+6;14-21-26-32-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009185;SAMEDI  ;06/06/2009;06/08/2009;32;46;13;33;15;10;13-15-32-33-46+10;13-15-32-33-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
